id,code,description,ctacontablesap,codsap,ref,active,district_id:id
zone_1,#,DROGUERIA NENA,601450700,500094,#,True,district_8
zone_2,#1,MARCA MUESTRAS,131010131,500133,#1,True,district_8
zone_3,$,MARACAY,131010038,500037,$,True,district_4
zone_4,+,MARACAY,131010036,500035,+,True,district_4
zone_5,-,MARACAY,131010037,500036,-,True,district_4
zone_6,1,CTAS CLAVES (LOCATEL),131010028,500027,1,True,district_1
zone_7,2,CTAS CLAVES (LOCATEL),131010029,500028,2,True,district_1
zone_8,3,TACHIRA,131010030,500029,3,True,district_6
zone_9,4,TACHIRA,131010031,500030,4,True,district_6
zone_10,5,MERIDA,131010032,500031,5,True,district_6
zone_11,6,MERIDA,131010033,500032,6,True,district_6
zone_12,7,CTAS CLAVES (LOCATEL),131010034,500033,7,True,district_1
zone_13,8,CTAS CLAVES (LOCATEL),131010035,500034,8,True,district_1
zone_14,9,DONACIONES,273505000,500026,9,True,district_8
zone_15,A,BARQUISIMETO,131010001,500000,A,True,district_5
zone_16,A0,Puerto La Cruz,131010066,500065,A0,True,district_3
zone_17,A1,MEDITOTAL,131010048,500047,A1,True,district_2
zone_18,A2,Puerto La Cruz,131010049,500048,A2,True,district_3
zone_19,A3,PUERTO LA CRUZ,131010050,500049,A3,True,district_2
zone_20,A4,PUERTO LA CRUZ,131010051,500050,A4,True,district_3
zone_21,A5,Puerto La Cruz,131010052,500051,A5,True,district_2
zone_22,A6,PUERTO LA CRUZ,131010053,500052,A6,True,district_3
zone_23,A7,PUERTO LA CRUZ,131010054,500053,A7,True,district_2
zone_24,A8,PUERTO LA CRUZ,131010055,500054,A8,True,district_2
zone_25,A9,Puerto La Cruz,131010056,500055,A9,True,district_2
zone_26,AA,PUERTO LA CRUZ,131010069,500068,AA,True,district_2
zone_27,AB,PUERTO LA CRUZ,,500095,AB,True,district_3
zone_28,AC,CTAS CLAVES (SIGO),,500102,AC,True,district_2
zone_29,AD,CTAS CLAVES ORIENTE,,500114,AD,True,district_2
zone_30,AE,CTAS CLAVES ORIENTE,,500117,AE,True,
zone_31,AF,GUARICO,,500092,AF,True,district_4
zone_32,AG,APURE,131010039,500038,AG,True,district_4
zone_33,AH,CC ORIENTE SUR,131010129,500130,AH,True,
zone_34,AI,CC ORIENTE SUR,131010126,500127,AI,True,
zone_35,AJ,CC ORIENTE SUR,131010128,500129,AJ,True,district_3
zone_36,AK,CC ORIENTE SUR,131010127,500128,AK,True,
zone_37,AL,CC ORIENTE SUR,131010125,500126,AL,True,district_3
zone_38,AV,MARACAY,,500098,AV,True,district_4
zone_39,B,ZULIA,131010002,500001,B,True,district_7
zone_40,B1,Oficina Principal,131010057,500056,B1,True,district_7
zone_41,B2,FARMAPUNTO,,500105,B2,True,district_7
zone_42,B3,NERIO RUBIO,,500106,B3,True,district_7
zone_43,B4,BEHERMAN RAMIREZ (ZULIA),,500107,B4,True,district_7
zone_44,B5,ISILIO PIRELA,,500108,B5,True,district_7
zone_45,B6,GRUPO GALERIAS COMPRE CON MENO,131010132,500134,B6,True,district_7
zone_46,B7,BEHERMAN RAMIREZ (ANDES),131010133,500135,B7,True,district_6
zone_47,B8,FARMACIA MARACAIBO,131010134,500136,B8,True,district_6
zone_48,BA,NASSER,131010072,500071,BA,True,district_7
zone_49,BC,CTAS CLAVES (MARACAIBO),131010073,500072,BC,True,district_7
zone_50,BD,ZULIA,131010075,500074,BD,True,district_7
zone_51,BE,ZULIA,131010086,500086,BE,True,district_7
zone_52,BZ,FALCÓN,,500099,BZ,True,district_7
zone_53,C,PORTUGUESA,131010003,500002,C,True,district_5
zone_54,C1,CARACAS ESTE,131010061,500060,C1,True,district_1
zone_55,C2,CARACAS ESTE,131010062,500061,C2,True,district_1
zone_56,C3,CARACAS OESTE,131010063,500062,C3,True,district_1
zone_57,C4,CARACAS OESTE,131010064,500063,C4,True,district_1
zone_58,C5,CARACAS OESTE,131010065,500064,C5,True,district_1
zone_59,C6,VALLES DEL TUY,131010067,500066,C6,True,district_1
zone_60,C7,CARACAS ESTE,131010068,500067,C7,True,district_1
zone_61,C8,CARACAS ESTE,131010071,500070,C8,True,district_1
zone_62,C9,CARACAS OESTE,131010070,500069,C9,True,district_1
zone_63,CA,CARACAS,131010042,500041,CA,True,district_1
zone_64,CB,CARACAS ESTE,131010043,500042,CB,True,district_1
zone_65,CC,CARACAS LOCATEL,,,CC,True,
zone_66,CD,GRUPO FARMARED,131010045,500044,CD,True,district_1
zone_67,CE,CARACAS ESTE,131010076,500075,CE,True,district_1
zone_68,CF,CARACAS OESTE,131010077,500076,CF,True,district_1
zone_69,CG,CTAS CLAVES (AUTOM PLAZAS),,500100,CG,True,district_1
zone_70,CH,CTAS CLAVES (EXCELSIOR),,500101,CH,True,district_1
zone_71,CI,CTAS CLAVES,,500103,CI,True,district_1
zone_72,CM,CTAS CLAVES,131010083,500082,CM,True,district_1
zone_73,CN,CARACAS ESTE,,500123,CN,True,district_1
zone_74,D,ZULIA,131010004,500003,D,True,district_7
zone_75,E,BARINAS,131010005,500004,E,True,district_5
zone_76,F,CADENA LEGAL,131010006,500005,F,True,district_1
zone_77,FP,FARMAPATRIA,131010130,500132,FP,True,district_1
zone_78,G,TRUJILLO,131010007,500006,G,True,district_6
zone_79,G1,VALERA,131010123,500124,G1,True,district_6
zone_80,G2,VALERA,131010124,500125,G2,True,district_6
zone_81,H,CARABOBO,131010008,500007,H,True,district_4
zone_82,H1,CARABOBO,131010008,500120,H1,True,district_4
zone_83,HA,NELLY ORTEGA,,500093,HA,True,district_6
zone_84,HB,YAMILETH GOITIA,131010078,500077,HB,True,district_5
zone_85,HC,YOHANA CAMPOS,131010084,500083,HC,True,district_1
zone_86,HD,CAROLINA GOMEZ,131010085,500085,HD,True,district_1
zone_87,HO,XIKIU ALEMAN,,500096,HO,True,district_2
zone_88,HV,MARCOS CRUCES,131010082,500081,HV,True,district_4
zone_89,HZ,NEURO LINARES,131010079,500078,HZ,True,district_7
zone_90,I,CARABOBO,131010009,500008,I,True,district_4
zone_91,IF,FARMATODO ,131010040,500039,IF,True,district_1
zone_92,IG,MARACAY,,500122,IG,True,district_4
zone_93,J,YARACUY,131010010,500009,J,True,district_4
zone_94,K,C.O.D.,131010011,500010,K,True,district_1
zone_95,KB,TOMAS MENDOZA,,500087,KB,True,district_1
zone_96,KC,SCHERWIN OQUENDO,,500090,KC,True,district_1
zone_97,KD,PATRICIA CONCHA,,500097,KD,True,district_1
zone_98,KO,GERARDO CARIAS,,500091,KO,True,district_1
zone_99,KV,MANUEL BRIZUELA,,500088,KV,True,district_1
zone_100,KZ,NINIBETH URDANETA,,500089,KZ,True,district_1
zone_101,L,GUANARE,131010012,500011,L,True,district_5
zone_102,LE,BARINAS,,500119,LE,True,district_5
zone_103,M,VALENCIA,131010013,500012,M,True,district_4
zone_104,N,BARQUISIMETO,131010014,500013,N,True,district_5
zone_105,Ñ,MARACAY,131010046,500045,Ñ,True,district_5
zone_106,O,VALENCIA,131010015,500014,O,True,district_4
zone_107,O1,CARABOBO,,500121,O1,True,district_4
zone_108,OC,CARACAS,131010044,500043,OC,True,district_4
zone_109,P,BARQUISIMETO,131010016,500015,P,True,district_5
zone_110,PC,Región de Presidencia,,500115,PC,True,district_5
zone_111,PD,Región Gcia Nac Vtas,,500116,PD,True,district_5
zone_112,PY,BARQUISIMETO,131010081,500080,PY,True,district_5
zone_113,Q,ZULIA,131010017,500016,Q,True,district_7
zone_114,R,CARABOBO,131010018,500017,R,True,district_4
zone_115,RF,FARMATODO,131010047,500046,RF,True,
zone_116,S,ZULIA,131010019,500018,S,True,district_7
zone_117,S1,COSTA ORIENTAL,131010136,500138,S1,True,district_7
zone_118,T,BARQUISIMETO,131010020,500019,T,True,district_8
zone_119,U,CTAS CALVES (LOCATEL),131010021,500020,U,True,district_1
zone_120,V,BARQUISIMETO,131010022,500021,V,True,district_1
zone_121,VF,FARMATODO,131010041,500040,VF,True,district_1
zone_122,W,CARACAS ESTE,131010023,500022,W,True,district_1
zone_123,X,CAJA CHICA,131010024,500023,X,True,district_8
zone_124,X1,Caja Chica Mcy,131010058,500057,X1,True,district_8
zone_125,X2,RUTA CHICA  CARACAS,131010059,500058,X2,True,district_8
zone_126,X3,RUTA CHICA ORIENTE,131010060,500059,X3,True,district_8
zone_127,X4,RUTA CHICA MARACAIBO,131010074,500073,X4,True,district_8
zone_128,X5,CAJA CHICA,131010135,500137,X5,True,district_8
zone_129,Y,BARQUISIMETO,131010025,500024,Y,True,district_5
zone_130,Y1,BARQUISIMETO,131010080,500079,Y1,True,district_5
zone_131,Y2,CTAS CLAVES (BARQUISIMETO),,500104,Y2,True,district_5
zone_132,Y3,CTAS CLAVES (BARQUISIMETO),,500109,Y3,True,district_5
zone_133,Y4,CTAS CLAVES (BARQUISMETO),,500110,Y4,True,district_5
zone_134,Y5,CTAS CLAVES (BARQUISIMETO),,500111,Y5,True,district_5
zone_135,Y6,CTAS CLAVES (BARQUISIMETO),,500112,Y6,True,district_5
zone_136,Z,FALCON,131010026,500025,Z,True,district_7
